,petal_length,petal_width,class
0,1.4,0.2,Iris-setosa
1,1.4,0.2,Iris-setosa
2,6.1,2.3,Iris-virginica
3,5.6,2.4,Iris-virginica
4,5.5,1.8,Iris-virginica
5,5.1,2.3,Iris-virginica
6,5.1,1.9,Iris-virginica
7,5.9,2.3,Iris-virginica
8,4.8,1.8,Iris-virginica
9,5.4,2.1,Iris-virginica
10,5.6,2.4,Iris-virginica
11,1.3,0.4,Iris-setosa
12,1.4,0.3,Iris-setosa
13,1.7,0.3,Iris-setosa
14,1.5,0.3,Iris-setosa
15,5.7,2.5,Iris-virginica
16,5.2,2.3,Iris-virginica
17,5.0,1.9,Iris-virginica
18,5.2,2.0,Iris-virginica
19,5.4,2.3,Iris-virginica
20,5.1,1.8,Iris-virginica
21,1.2,0.2,Iris-setosa
22,1.5,0.4,Iris-setosa
23,1.7,0.2,Iris-setosa
24,1.5,0.4,Iris-setosa
25,1.0,0.2,Iris-setosa
26,1.7,0.5,Iris-setosa
27,1.9,0.2,Iris-setosa
28,1.6,0.2,Iris-setosa
29,1.6,0.4,Iris-setosa
30,1.5,0.2,Iris-setosa
31,5.0,1.7,Iris-versicolor
32,4.5,1.5,Iris-versicolor
33,1.4,0.2,Iris-setosa
34,1.6,0.2,Iris-setosa
35,3.5,1.0,Iris-versicolor
36,3.8,1.1,Iris-versicolor
37,3.7,1.0,Iris-versicolor
38,1.6,0.2,Iris-setosa
39,1.5,0.4,Iris-setosa
40,1.5,0.1,Iris-setosa
41,1.4,0.2,Iris-setosa
42,1.5,0.1,Iris-setosa
43,1.2,0.2,Iris-setosa
44,5.5,2.1,Iris-virginica
45,5.0,2.0,Iris-virginica
46,4.9,2.0,Iris-virginica
47,6.7,2.0,Iris-virginica
48,4.9,1.8,Iris-virginica
49,1.3,0.2,Iris-setosa
50,1.3,0.2,Iris-setosa
51,1.6,0.6,Iris-setosa
52,1.9,0.4,Iris-setosa
53,1.4,0.3,Iris-setosa
54,1.6,0.2,Iris-setosa
55,1.4,0.2,Iris-setosa
56,1.5,0.2,Iris-setosa
57,1.4,0.2,Iris-setosa
58,4.7,1.4,Iris-versicolor
59,4.5,1.5,Iris-versicolor
60,4.9,1.5,Iris-versicolor
61,4.0,1.3,Iris-versicolor
62,4.6,1.5,Iris-versicolor
63,4.5,1.3,Iris-versicolor
64,4.7,1.6,Iris-versicolor
65,3.3,1.0,Iris-versicolor
66,4.6,1.3,Iris-versicolor
67,3.9,1.4,Iris-versicolor
68,3.5,1.0,Iris-versicolor
69,5.1,2.4,Iris-virginica
70,5.3,2.3,Iris-virginica
71,5.5,1.8,Iris-virginica
72,6.7,2.2,Iris-virginica
73,3.9,1.2,Iris-versicolor
74,5.1,1.6,Iris-versicolor
75,4.5,1.5,Iris-versicolor
76,4.5,1.6,Iris-versicolor
77,4.7,1.5,Iris-versicolor
78,6.9,2.3,Iris-virginica
79,5.0,1.5,Iris-virginica
80,5.7,2.3,Iris-virginica
81,4.4,1.3,Iris-versicolor
82,4.1,1.3,Iris-versicolor
83,4.0,1.3,Iris-versicolor
84,4.5,1.5,Iris-versicolor
85,3.9,1.1,Iris-versicolor
86,4.8,1.8,Iris-versicolor
87,4.0,1.3,Iris-versicolor
88,4.9,1.5,Iris-versicolor
89,4.7,1.2,Iris-versicolor
90,4.3,1.3,Iris-versicolor
91,4.4,1.4,Iris-versicolor
92,4.8,1.4,Iris-versicolor
93,4.4,1.2,Iris-versicolor
94,4.6,1.4,Iris-versicolor
95,4.0,1.2,Iris-versicolor
96,4.1,1.3,Iris-versicolor
97,6.0,2.5,Iris-virginica
98,5.1,1.9,Iris-virginica
99,5.9,2.1,Iris-virginica
100,5.6,1.8,Iris-virginica
101,5.8,2.2,Iris-virginica
102,6.6,2.1,Iris-virginica
103,4.5,1.7,Iris-virginica
104,6.3,1.8,Iris-virginica
105,5.8,1.8,Iris-virginica
106,6.1,2.5,Iris-virginica
107,5.1,2.0,Iris-virginica
108,5.3,1.9,Iris-virginica
109,5.7,2.1,Iris-virginica
110,6.0,1.8,Iris-virginica
111,4.8,1.8,Iris-virginica
112,4.9,1.8,Iris-virginica
113,5.6,2.1,Iris-virginica
114,1.5,0.1,Iris-setosa
115,1.3,0.2,Iris-setosa
116,1.5,0.2,Iris-setosa
117,1.3,0.3,Iris-setosa
118,1.3,0.3,Iris-setosa
119,5.8,1.6,Iris-virginica
120,6.1,1.9,Iris-virginica
121,6.4,2.0,Iris-virginica
122,5.6,2.2,Iris-virginica
123,5.1,1.5,Iris-virginica
124,5.6,1.4,Iris-virginica
125,1.3,0.2,Iris-setosa
126,1.5,0.2,Iris-setosa
127,1.4,0.2,Iris-setosa
128,3.3,1.0,Iris-versicolor
129,4.2,1.3,Iris-versicolor
130,4.2,1.2,Iris-versicolor
131,4.2,1.3,Iris-versicolor
132,4.3,1.3,Iris-versicolor
133,3.0,1.1,Iris-versicolor
134,1.7,0.4,Iris-setosa
135,1.4,0.3,Iris-setosa
136,1.5,0.2,Iris-setosa
137,1.4,0.2,Iris-setosa
138,1.5,0.1,Iris-setosa
139,3.6,1.3,Iris-versicolor
140,1.5,0.2,Iris-setosa
141,1.6,0.2,Iris-setosa
142,1.4,0.1,Iris-setosa
143,4.0,1.0,Iris-versicolor
144,1.1,0.1,Iris-setosa
145,4.2,1.5,Iris-versicolor
146,4.7,1.4,Iris-versicolor
147,4.4,1.4,Iris-versicolor
148,4.5,1.5,Iris-versicolor
149,4.1,1.0,Iris-versicolor
